State/UT,Hindu Communities,Muslim Communities,Christian Communities,Sikh Communities,Buddhist Communities,Jain Communities,Other Religions & Tribal Faiths
Kerala,"Namboodiri, Nair, Ezhava, Pulaya, Cheramar",Mappila Muslim,"Syrian Christian, Dalit Christians",Sikh migrants,Navayana Buddhists,Digambar Jains,"Kurumba, Kadar tribal faiths"
Madhya Pradesh,"Brahmin, Rajput, Yadav, Lodhi, Kurmi, Chamar, Gond","Qureshi, Ansari","Dalit Christians, Gond Christians",Sikh migrants,Baori Buddhists,Oswal Jain,"Gond, Bhil tribal faiths"
Maharashtra,"Brahmin, Maratha, Mali, Kunbi, Dhangar, Mahar","Konkani Muslim, Momin","Goan Catholic, East Indian Christian",Ramgarhia Sikh,Neo-Buddhists (Mahar),"Oswal, Porwal Jains","Warli, Kokna tribal faiths"
Manipur,"Meitei, Meitei Pangal (Muslim converts), Hindu Nagas",Meitei Pangal,"Tribal Christians (Naga, Kuki)",None,Baori Buddhists,None,Animist tribal faiths
Meghalaya,Khasi Hindu converts,Small Muslim groups,"Khasi Christian, Garo Christian",None,Baori Buddhists,None,"Khasi, Garo traditional religion"
Mizoram,Mizo Hindu converts (rare),Very small Muslim minority,Mizo Christian,None,Baori Buddhists,None,Mizo tribal faiths
Nagaland,Naga Hindu converts (rare),Rare Muslim traders,Naga Christian,Rare Sikh migrants,Baori Buddhists,None,Animist Naga faiths
Odisha,"Brahmin, Khandayat, Karana, Chamar, Dom","Qureshi, Ansari","Dalit Christians, Tribal Christians (Khond)",Sikh migrants,Baori Buddhists,Oswal Jain,"Khond, Saora tribal faiths"
Punjab,"Brahmin, Khatri, Arora","Muslim Gujjar, Muslim Arain","Anglo-Indian, Dalit Christians","Jat Sikh, Mazhabi Sikh",Mazhabi Buddhists,Oswal Jain,None
Rajasthan,"Brahmin, Rajput, Jat, Gurjar, Meghwal","Meo Muslim, Sindhi Muslim",Dalit Christians (rare),Jat Sikh migrants,Navayana Buddhists,"Oswal, Porwal Jains",Bhil tribal faiths
Sikkim,"Nepali Brahmin, Chettri, Rai",Small Muslim community,"Lepcha Christian, Bhutia Christian",Sikh migrants,Bhutia Buddhists,None,Lepcha traditional religion
Tamil Nadu,"Iyer, Iyengar, Vanniyar, Nadar, Thevar, Paraiyar","Labbai, Rowther","Nadar Christian, Dalit Christians",Mazhabi Sikh (migrants),Navayana Buddhists,Tamil Vellalar Jains,"Toda, Kota tribal faiths"
Telangana,"Brahmin, Reddy, Kamma, Kapu, Golla, Madiga, Mala","Labbai, Dudekula","Dalit Christians, Lambadi Christians",Sikh migrants,Navayana Buddhists,"Jains (Digambar, Shwetambar)",Lambadi tribal faiths
Tripura,"Bengali Brahmin, Kayastha, Chamar",Bengali Muslim,"Tripuri Christian, Reang Christian",None,Baori Buddhists,None,Tripuri tribal faiths
Uttar Pradesh,"Brahmin, Thakur, Yadav, Kurmi, Koeri, Chamar","Sheikh, Ansari, Qureshi","Dalit Christians, Anglo-Indians","Mazhabi Sikh, Ramgarhia",Mahar Buddhists,Oswal Jain,No major tribal faiths
Uttarakhand,"Brahmin, Rajput, SC castes (Dom, Bhandari)",Garhwali Muslim,Dalit Christians (rare),Sikh (mostly migrants),Baori Buddhists,Oswal Jain,Bhotia tribal religion
West Bengal,"Brahmin, Kayastha, Mahishya, Namasudra","Sheikh, Momin","Anglo-Indian, Dalit Christians",Mazhabi Sikh (rare),Baori Buddhists,Oswal Jain,"Santhal, Lepcha tribal faiths"
Andaman and Nicobar Islands,"Bengali Brahmin, Tamil Hindu migrants","Bengali Muslim, Moplah Muslim",Nicobarese Christian,Sikh migrants,Baori Buddhists,None,Nicobarese tribal faiths
Chandigarh,"Punjabi Brahmin, Khatri",Punjabi Muslim,Dalit Christians,"Jat Sikh, Mazhabi Sikh",Mazhabi Buddhists,Oswal Jain,None
Dadra and Nagar Haveli and Daman and Diu,"Gujarati Brahmin, Koli",Gujarati Muslim,Catholic Christians,Sikh migrants,Baori Buddhists,Gujarati Jains,Varli tribal faiths
Delhi (NCT),"Brahmin, Bania, Jat, Gujjar, Chamar","Qureshi, Ansari",Dalit Christians,"Jat Sikh, Mazhabi Sikh",Navayana Buddhists,Oswal Jain,None
Jammu and Kashmir,"Dogra Brahmin, Rajput","Kashmiri Muslim (Sunni, Shia), Gujjar Muslim",Dalit Christians (rare),"Sikh (Ramgarhia, Jat Sikh)",Ladakhi Buddhists,Jains (rare),Dard-Shina tribal faiths
Ladakh,"Boto (Buddhist converts), Hindu traders",Balti Muslims,Christian missionaries (rare),None,Tibetan Buddhists,None,Tribal Buddhist faiths
Lakshadweep,Small Hindu minority,Mappila Muslim majority,Small Christian minority,None,None,None,None
Puducherry,"Tamil Brahmin, Vanniyar",Labbai Muslim,Catholic Christians,Sikh migrants,Navayana Buddhists,Tamil Jains,Irula tribal faiths
